Nom,Année de naissance ,Année de premiere election,Groupe,Circonscription,Série,genre
Catherine Deroche,1953,2010,UMP,Maine-et-Loire,1,F
Jacky Deromedi,1944,2014,UMP,Français établis hors de France,2,F
Marie-Hélène des Esgaulx,1950,2008,UMP,Gironde,2,F
Jean Desessard,1952,2004,ÉCOLO,Paris,1,M
Chantal Deseyne,1957,2014,UMP,Eure-et-Loir,2,F
Félix Desplan,1943,2011,SOC,Guadeloupe,1,M
Yves Détraigne,1954,2001,UDI-UC,Marne,1,M
Catherine Di Folco,1960,2014,app. UMP,Rhône,2,F
Évelyne Didier,1948,2001,CRC,Meurthe-et-Moselle,1,F
Élisabeth Doineau,1961,2014,UDI-UC,Mayenne,1,F
Éric Doligé,1943,2001,UMP,Loiret,1,M
Philippe Dominati,1954,2004,UMP,Paris,1,M
Daniel Dubois,1952,2004,UDI-UC,Somme,2,M
Marie-Annick Duchêne,1940,2011,app. UMP,Yvelines,1,F
Alain Dufaut,1944,1995,UMP,Vaucluse,2,M
Jean-Léonce Dupont,1955,1998,UDI-UC,Calvados,2,M
Jérôme Durain,1969,2014,SOC,Saône-et-Loire,2,M
Alain Duran,1958,2014,SOC,Ariège,2,M
Nicole Duranton,1958,2014,UMP,Eure,2,M
Josette Durrieu,1937,1992,SOC,Hautes-Pyrénées,1,F
Louis Duvernois,1941,2001,UMP,Français établis hors de France,1,M
Vincent Eblé,1957,2011,SOC,Seine-et-Marne,1,M
Anne Emery-Dumas,1959,2012,SOC,Nièvre,1,M
Jean-Paul Emorine,1944,1995,UMP,Saône-et-Loire,2,M
Philippe Esnol,1954,2011,RDSE,Yvelines,1,M
Frédérique Espagnac,1972,2011,SOC,Pyrénées-Atlantiques,1,M
Dominique Estrosi Sassone,1958,2014,UMP,Alpes-Maritimes,2,M
Hubert Falco,1947,1995,UMP,Var,2,M
Christian Favier,1951,2011,CRC,Val-de-Marne,1,M
Françoise Férat,1949,2001,UDI-UC,Marne,1,F
Jean-Jacques Filleul,1943,2011,SOC,Indre-et-Loire,1,M
Michel Fontaine,1952,2011,UMP,La Réunion,1,M
Michel Forissier,1943,2014,UMP,Rhône,2,M
François Fortassin,1939,2001,RDSE,Hautes-Pyrénées,1,M
Thierry Foucaud,1954,1998,CRC,Seine-Maritime,2,M
Alain Fouché,1942,2002,UMP,Vienne,2,M
Bernard Fournier,1946,1997,UMP,Loire,1,M
Jean-Paul Fournier,1945,2008,UMP,Gard,2,M
Christophe-André Frassa,1968,2008,UMP,Français établis hors de France,2,M
Jean-Claude Frécon,1944,2001,SOC,Loire,1,M
Pierre Frogier,1950,2011,UMP,Nouvelle-Calédonie,1,M
Jean-Marc Gabouty,1949,2014,UDI-UC,Haute-Vienne,2,M
Joëlle Garriaud-Maylam,1955,2004,UMP,Français établis hors de France,1,F
Françoise Gatel,1953,2014,UDI-UC,Ille-et-Vilaine,2,F
André Gattolin,1960,2011,ÉCOLO,Hauts-de-Seine,1,M
Jean-Claude Gaudin,1939,1989,UMP,Bouches-du-Rhône,2,M
Jacques Gautier,1946,2007,UMP,Hauts-de-Seine,1,M
Jacques Genest,1950,2014,UMP,Ardèche,2,M
Catherine Génisson,1949,2011,SOC,Pas-de-Calais,1,F
Samia Ghali,1968,2008,SOC,Bouches-du-Rhône,2,F
Bruno Gilles,1960,2008,UMP,Bouches-du-Rhône,2,M
Dominique Gillot,1949,2011,SOC,Val-d'Oise,1,F
Jacques Gillot,1948,2004,app. SOC,Guadeloupe,1,M
Éliane Giraud,1952,2014,SOC,Isère,1,F
Colette Giudicelli,1943,2008,UMP,Alpes-Maritimes,2,F
Jean-Pierre Godefroy,1944,2001,SOC,Manche,1,M
Brigitte Gonthier-Maurin,1956,2007,CRC,Hauts-de-Seine,1,F
Gaëtan Gorce,1958,2011,SOC,Nièvre,1,M
Nathalie Goulet,1958,2007,UDI-UC,Orne,1,F
Jacqueline Gourault,1950,2001,UDI-UC,Loir-et-Cher,1,F
Alain Gournac,1943,1995,UMP,Yvelines,1,M
Sylvie Goy-Chavent,1963,2008,UDI-UC,Ain,2,F
Jean-Pierre Grand,1950,2014,UMP,Hérault,2,M
Daniel Gremillet,1953,2014,UMP,Vosges,2,M
François Grosdidier,1961,2011,UMP,Moselle,1,M
Jacques Grosperrin,1955,2014,UMP,Doubs,2,M
Pascale Gruny,1960,2014,UMP,Aisne,2,F
Charles Guené,1952,2001,UMP,Haute-Marne,1,M
Jean-Noël Guérini,1951,1998,RASNAG,Bouches-du-Rhône,2,M
Joël Guerriau,1957,2011,UDI-UC,Loire-Atlantique,1,M
Didier Guillaume,1959,2008,SOC,Drôme,2,M
Annie Guillemot,1956,2014,SOC,Rhône,2,F
Claude Haut,1944,1995,SOC,Vaucluse,2,M
Loïc Hervé,1980,2014,UDI-UC,Haute-Savoie,2,M
Odette Herviaux,1948,2001,SOC,Morbihan,1,F
Michel Houel,1942,2004,UMP,Seine-et-Marne,1,M
Alain Houpert,1957,2008,app. UMP,Côte-d'Or,2,M
Robert Hue,1946,2004,RDSE,Val-d'Oise,1,M
Christiane Hummel,1942,2004,UMP,Var,2,F
Benoît Huré,1953,2004,UMP,Ardennes,2,M
Jean-François Husson,1961,2011,app. UMP,Meurthe-et-Moselle,1,M
Jean-Jacques Hyest,1943,1995,UMP,Seine-et-Marne,1,M
Corinne Imbert,1958,2014,ratt. UMP,Charente-Maritime,2,F
Pierre Jarlier,1954,1998,UDI-UC,Cantal,2,M
Éric Jeansannetas,1962,2014,SOC,Creuse,2,M
Sophie Joissains,1969,2008,UDI-UC,Bouches-du-Rhône,2,F
Chantal Jouanno,1969,2011,UDI-UC,Paris,1,F
Gisèle Jourda,1955,2014,SOC,Aude,2,F
Mireille Jouve,1960,2014,RASNAG,Bouches-du-Rhône,2,F
Alain Joyandet,1954,1995,UMP,Haute-Saône,2,M
Philippe Kaltenbach,1966,2011,SOC,Hauts-de-Seine,1,M
Christiane Kammermann,1932,2004,UMP,Français établis hors de France,1,F
Antoine Karam,1950,2014,SOC,Guyane,2,M
Roger Karoutchi,1951,1999,UMP,Hauts-de-Seine,1,M
Fabienne Keller,1959,2004,UMP,Bas-Rhin,2,F
Guy-Dominique Kennel,1952,2014,UMP,Bas-Rhin,2,M
Claude Kern,1959,2014,UDI-UC,Bas-Rhin,2,M
Bariza Khiari,1946,2004,SOC,Paris,1,F
Georges Labazée,1943,2011,SOC,Pyrénées-Atlantiques,1,M
Joël Labbé,1952,2011,ÉCOLO,Morbihan,1,M
Françoise Laborde,1958,2008,RDSE,Haute-Garonne,2,F
Bernard Lalande,1954,2014,SOC,Charente-Maritime,2,M
Marc Laménie,1956,2007,UMP,Ardennes,2,M
Élisabeth Lamure,1947,2004,UMP,Rhône,2,F
Gérard Larcher,1949,1986,UMP,Yvelines,1,M
Serge Larcher,1945,2004,app. SOC,Martinique,1,M
Jean-Jacques Lasserre,1944,2011,UDI-UC,Pyrénées-Atlantiques,1,M
Robert Laufoaulu,1947,1998,app. UMP,Wallis-et-Futuna,2,M
Daniel Laurent,1949,2008,UMP,Charente-Maritime,2,M
Pierre Laurent,1957,2012,CRC,Paris,1,M
Nuihau Laurey,1964,2015,UDI-UC,Polynésie française,2,M
Jean-Yves Leconte,1966,2011,SOC,Français établis hors de France,1,M
Antoine Lefèvre,1966,2008,UMP,Aisne,2,M
Jacques Legendre,1941,1992,UMP,Nord,1,M
Dominique de Legge,1952,2008,UMP,Ille-et-Vilaine,2,M
Jean-Pierre Leleux,1947,2008,UMP,Alpes-Maritimes,2,M
Jean-Baptiste Lemoyne,1977,2014,app. UMP,Yonne,2,M
Jean-Claude Lenoir,1944,2011,UMP,Orne,1,M
Claudine Lepage,1949,2008,SOC,Français établis hors de France,2,F
Jean-Claude Leroy,1952,2011,SOC,Pas-de-Calais,1,M
